dataset name,amount of badness,task,base learner,macro_f1,auc_roc,minority_precision,minority_recall,minority_f1,majority_f1,train_time,inference_time
spambase,0.13,Task.DATA_IMBALANCE,DT,0.8617771029761201,0.9812226204699324,0.6501621357498223,0.9444444444444444,0.7642007183754755,0.9593534875767645,0.12297772443853319,0.0014698286075145006
spambase,0.13,Task.DATA_IMBALANCE,RF,0.9048194634224848,0.9765232974910394,0.8071658381238906,0.8777777777777777,0.833231101124527,0.976407825720442,0.6159198425710202,0.0023416806012392043
spambase,0.14,Task.DATA_IMBALANCE,DT,0.909247486456336,0.9865269736237477,0.7878057828696127,0.9128205128205128,0.8428414565415819,0.9756535163710905,0.12967681242153048,0.0014821265824139119
spambase,0.14,Task.DATA_IMBALANCE,RF,0.8786731538812009,0.9853873724841467,0.7079640841021604,0.923076923076923,0.7936832410025518,0.9636630667598503,0.6429450591560453,0.0021569518372416495
spambase,0.15,Task.DATA_IMBALANCE,DT,0.8984200905646068,0.9804403481822836,0.7650766295628959,0.9095238095238096,0.8264025401122174,0.970437641016996,0.13290417115204037,0.0014364466536790133
spambase,0.15,Task.DATA_IMBALANCE,RF,0.8809186244477696,0.9825226147806794,0.7684707343158048,0.8619047619047618,0.797089626310816,0.964747622584723,0.592621492408216,0.0021956915967166423
spambase,0.16,Task.DATA_IMBALANCE,DT,0.8911208893431757,0.9859320806632634,0.7449509890835249,0.9197979797979798,0.8168110506136419,0.9654307280727095,0.12632443718612194,0.0014610227663069963
spambase,0.16,Task.DATA_IMBALANCE,RF,0.8971984195350575,0.981746859273741,0.7997853309481217,0.8747474747474747,0.8253857906799084,0.9690110483902064,0.5816697831265628,0.0021473913919180633
spambase,0.17,Task.DATA_IMBALANCE,DT,0.8955170892049896,0.978601705686469,0.74800002315458,0.9236702127659575,0.824670504247484,0.9663636741624952,0.12996720182709395,0.0014696706086397171
spambase,0.17,Task.DATA_IMBALANCE,RF,0.8606079678966341,0.9770342408297109,0.6782721509656493,0.8940602836879433,0.7680725310846332,0.9531434047086348,0.6794788034632802,0.0021552938036620618
spambase,0.18,Task.DATA_IMBALANCE,DT,0.9149481138328321,0.9799569892473119,0.8294662497468581,0.892,0.8570388506032071,0.9728573770624573,0.1306933069601655,0.0016547334380447865
spambase,0.18,Task.DATA_IMBALANCE,RF,0.9014406760405166,0.9769892473118279,0.7847098565875078,0.9,0.8357298550784851,0.9671514970025481,0.6300040903501213,0.002013507252559066
spambase,0.19,Task.DATA_IMBALANCE,DT,0.8931888143986961,0.9838101034692635,0.7494214194466454,0.9283018867924528,0.8254981607165464,0.9608794680808461,0.14144101147539914,0.0013380404096096754
spambase,0.19,Task.DATA_IMBALANCE,RF,0.9017185391263214,0.9808615675931562,0.7924841878284343,0.8905660377358491,0.836835312502479,0.9666017657501639,0.6306294671725482,0.002176107792183757
spambase,0.2,Task.DATA_IMBALANCE,DT,0.8974489485802802,0.9819764464925755,0.7645422233188152,0.925,0.8335857766100299,0.9613121205505305,0.16832542284391822,0.0013675300404429435
spambase,0.2,Task.DATA_IMBALANCE,RF,0.8993607769504932,0.981694828469022,0.7638564539967452,0.9285714285714286,0.8366321440680655,0.9620894098329209,0.6386862030252815,0.002358438400551677
spambase,None,Task.FEATURE_INADEQUACY,DT,0.9441585648838368,0.9891594524012989,0.9140418627102985,0.9569546475623824,0.933831513309803,0.9544856164578706,0.13368835439905524,0.0011721133254468442
spambase,None,Task.FEATURE_INADEQUACY,RF,0.9501282139942557,0.9850244776906691,0.931254433925567,0.9492198409325482,0.9399900749007873,0.960266353087724,0.5958336488809437,0.0022029261104762553
spambase,0.0,Task.NOISY_DATA,DT,0.9871901151309175,0.9994758285532743,0.9813725057666046,0.9864705882352942,0.9838802622230931,0.9904999680387414,0.17375881024636328,0.00575852720066905
spambase,0.0,Task.NOISY_DATA,RF,0.9782163977576678,0.9987214846054748,0.9820527166353106,0.9629411764705882,0.9723695318616385,0.9840632636536968,0.5923531293869019,0.007082823570817709
spambase,0.01,Task.NOISY_DATA,DT,0.9851939747056694,0.9991417279893644,0.9754740725528294,0.9878058645096057,0.9815511052167107,0.988836844194628,0.2612902351655066,0.005950788222253323
spambase,0.01,Task.NOISY_DATA,RF,0.974299961016569,0.9980027729796277,0.9796500319735371,0.9558392315470172,0.9675166118486013,0.9810833101845366,0.7396265764255077,0.007158973719924688
spambase,0.02,Task.NOISY_DATA,DT,0.9832902070457546,0.9988831265194212,0.9728943726812475,0.9853766870744799,0.9790771553396975,0.9875032587518116,0.32255015200935305,0.00601414442062378
spambase,0.02,Task.NOISY_DATA,RF,0.9742434707437845,0.9978893871068302,0.9813386389368046,0.9537703006293838,0.9673426311109588,0.9811443103766104,1.4472024665679784,0.007489883014932275
spambase,0.03,Task.NOISY_DATA,DT,0.9818366622723008,0.9988566529692495,0.971510289123563,0.9829203539823009,0.9771461848740529,0.9865271396705484,0.37514153877273204,0.006165148736909032
spambase,0.03,Task.NOISY_DATA,RF,0.9705759186104437,0.9976668366086466,0.9805599298271694,0.9452108276939093,0.9624285715671622,0.978723265653725,1.0706077468115835,0.008211356168612838
spambase,0.04,Task.NOISY_DATA,DT,0.9814422713209348,0.9983865436421135,0.9728740941355399,0.9807580174927113,0.9767834768967548,0.9861010657451146,0.31506259902380407,0.0059965959750115875
